,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
1402,uid://A002/X7fffd6/X9e8,2014-04-28 06:05:09.057000,True,True,True,False
1403,uid://A002/X7fffd6/X867,2014-04-28 05:24:12.433000,True,True,True,False
1404,uid://A002/X7fffd6/X5fe,2014-04-28 04:31:10.326000,True,True,True,False
1405,uid://A002/X7fffd6/X2a6,2014-04-28 03:32:44.195000,True,True,True,False
1406,uid://A002/X7fffd6/X221,2014-04-28 03:23:39.351000,True,True,False,False
1407,uid://A002/X7fffd6/X129,2014-04-28 02:44:50.398000,True,True,True,False
1408,uid://A002/X7fc9da/X5d88,2014-04-27 23:58:32.360000,True,True,True,True
1409,uid://A002/X7fc9da/X5caf,2014-04-27 23:16:47.754000,True,True,True,True
1410,uid://A002/X7fc9da/X5b35,2014-04-27 22:04:08.216000,True,True,True,False
1411,uid://A002/X7fc9da/X5b01,2014-04-27 21:50:52.160000,True,True,True,False
1412,uid://A002/X7fc9da/X57f9,2014-04-27 20:31:32.227000,True,True,True,False
1413,uid://A002/X7fc9da/X57dd,2014-04-27 20:26:36.187000,True,True,True,False
1414,uid://A002/X7fc9da/X5642,2014-04-27 18:58:12.503000,True,True,True,False
1415,uid://A002/X7fc9da/X5605,2014-04-27 18:49:21.646000,True,True,True,True
1416,uid://A002/X7fc9da/X558c,2014-04-27 18:28:30.659000,True,True,True,True
1417,uid://A002/X7fc9da/X5483,2014-04-27 17:44:03.261000,True,True,True,True
1418,uid://A002/X7fc9da/X5464,2014-04-27 17:34:31.615000,True,True,True,False
1419,uid://A002/X7fc9da/X51a6,2014-04-27 15:54:11.743000,True,True,True,False
1420,uid://A002/X7fc9da/X4fc4,2014-04-27 15:06:45.571000,True,True,True,False
1421,uid://A002/X7fc9da/X4f35,2014-04-27 14:29:45.803000,True,True,True,True
1422,uid://A002/X7fc9da/X4f1f,2014-04-27 14:24:53.684000,True,True,True,True
1423,uid://A002/X7fc9da/X4b5e,2014-04-27 12:46:33.041000,True,True,True,False
1424,uid://A002/X7fc9da/X4b45,2014-04-27 12:38:10.842000,True,True,True,False
1425,uid://A002/X7fc9da/X47c7,2014-04-27 11:06:41.517000,True,True,True,False
1426,uid://A002/X7fc9da/X4577,2014-04-27 10:02:41.589000,True,True,True,False
1427,uid://A002/X7fc9da/X4324,2014-04-27 09:21:13.147000,True,True,True,False
1428,uid://A002/X7fc9da/X40a1,2014-04-27 08:23:51.357000,True,True,True,False
1429,uid://A002/X7fc9da/X4064,2014-04-27 08:15:23.158000,True,True,True,False
1430,uid://A002/X7fc9da/X3ff3,2014-04-27 08:01:01.737000,True,True,True,True
1431,uid://A002/X7fc9da/X3de4,2014-04-27 06:57:21.478000,True,True,True,True
1432,uid://A002/X7fc9da/X3cff,2014-04-27 06:11:25.341000,True,True,True,False
1433,uid://A002/X7fc9da/X3cc2,2014-04-27 06:01:40.365000,True,True,True,True
1434,uid://A002/X7fc9da/X3b80,2014-04-27 05:18:59.212000,True,True,True,False
1435,uid://A002/X7fc9da/X3afa,2014-04-27 05:03:13.826000,True,True,True,False
1436,uid://A002/X7fc9da/X38c2,2014-04-27 03:55:26.804000,True,True,True,False
1437,uid://A002/X7fc9da/X3885,2014-04-27 03:49:19.046000,True,True,True,False
1438,uid://A002/X7fc9da/X371c,2014-04-27 02:52:10.938000,True,True,True,False
1439,uid://A002/X7fc9da/X371b,2014-04-27 02:50:46.583000,True,True,True,False
1440,uid://A002/X7fc9da/X3487,2014-04-27 01:39:48.159000,True,True,True,True
1441,uid://A002/X7fc9da/X341d,2014-04-27 01:15:06.259000,True,True,True,False
1442,uid://A002/X7fc9da/X3320,2014-04-27 00:34:24.844000,True,True,True,False
1443,uid://A002/X7fc9da/X3149,2014-04-26 23:31:38.746000,True,True,False,False
1444,uid://A002/X7fc9da/X3096,2014-04-26 23:07:13.602000,True,True,True,False
1445,uid://A002/X7fc9da/X2e91,2014-04-26 22:11:56.964000,True,True,True,False
1446,uid://A002/X7fc9da/X2d75,2014-04-26 21:37:17.283000,True,True,True,False
1447,uid://A002/X7fc9da/X2b6a,2014-04-26 20:31:22.634000,True,True,True,False
1448,uid://A002/X7fc9da/X2ade,2014-04-26 20:14:38.443000,True,True,True,False
1449,uid://A002/X7fc9da/X27e0,2014-04-26 18:38:16.492000,True,True,True,False
1450,uid://A002/X7fc9da/X27a1,2014-04-26 18:30:54.634000,True,True,True,False
1451,uid://A002/X7fc9da/X2462,2014-04-26 17:14:52.829000,True,True,False,False
1452,uid://A002/X7fc9da/X2395,2014-04-26 16:46:08.646000,True,True,False,False
1453,uid://A002/X7fc9da/X1fae,2014-04-26 15:07:36.523000,True,True,True,False
1454,uid://A002/X7fc9da/X1f23,2014-04-26 14:41:01.940000,True,True,True,False
1455,uid://A002/X7fc9da/X1f0d,2014-04-26 14:32:53.335000,True,True,True,False
1456,uid://A002/X7fc9da/X1ee2,2014-04-26 14:15:11.152000,True,True,True,False
1457,uid://A002/X7fc9da/X1e7b,2014-04-26 13:55:06.012000,True,True,True,False
1458,uid://A002/X7fc9da/X1e11,2014-04-26 13:35:31.437000,True,True,True,False
1459,uid://A002/X7fc9da/X1cf3,2014-04-26 12:57:33.760000,True,True,True,False
1460,uid://A002/X7fc9da/X1bb0,2014-04-26 12:16:29.289000,True,True,True,False
1461,uid://A002/X7fc9da/X18f7,2014-04-26 11:01:16.162000,True,True,True,False
1462,uid://A002/X7fc9da/X182d,2014-04-26 10:33:11.626000,True,True,True,False
1463,uid://A002/X7fc9da/X16ab,2014-04-26 09:48:27.602000,True,True,True,False
1464,uid://A002/X7fc9da/X138b,2014-04-26 08:14:32.562000,True,True,False,False
1465,uid://A002/X7fc9da/X1306,2014-04-26 07:40:59.060000,True,True,False,False
1466,uid://A002/X7fc9da/X10d4,2014-04-26 06:35:04.455000,True,True,True,False
1467,uid://A002/X7fc9da/X1011,2014-04-26 05:58:59.405000,True,True,True,True
1468,uid://A002/X7fc9da/Xfb4,2014-04-26 05:52:57.893000,True,True,True,False
1469,uid://A002/X7fc9da/Xc11,2014-04-26 04:10:24.190000,True,True,True,False
1470,uid://A002/X7fc9da/Xc10,2014-04-26 04:08:54.303000,True,True,True,False
1471,uid://A002/X7fc9da/X8ea,2014-04-26 02:29:45.140000,True,True,True,True
1472,uid://A002/X7fc9da/X8d4,2014-04-26 02:22:41.680000,True,True,True,False
1473,uid://A002/X7fc9da/X7ef,2014-04-26 01:48:00.071000,True,True,True,False
1474,uid://A002/X7fc9da/X70c,2014-04-26 01:17:22.924000,True,True,True,False
1475,uid://A002/X7fc9da/X4b4,2014-04-26 00:12:49.432000,True,True,True,False
1476,uid://A002/X7fc9da/X49b,2014-04-26 00:03:14.492000,True,True,True,False
1477,uid://A002/X7fc9da/X40d,2014-04-25 23:40:14.182000,True,True,True,True
1478,uid://A002/X7fc9da/X216,2014-04-25 22:41:25.083000,True,True,True,False
1479,uid://A002/X7fc9da/X7f,2014-04-25 21:24:00.777000,True,True,True,False
1480,uid://A002/X7fb89e/X13f9,2014-04-25 11:23:38.278000,True,True,False,False
1481,uid://A002/X7fb89e/X10f5,2014-04-25 09:54:24.815000,True,True,True,False
1482,uid://A002/X7fb89e/X1076,2014-04-25 09:26:28.223000,True,True,True,True
1483,uid://A002/X7fb89e/Xd40,2014-04-25 07:54:08.502000,True,True,False,False
1484,uid://A002/X7fb89e/Xc42,2014-04-25 07:24:40.121000,True,True,True,False
1485,uid://A002/X7fb89e/Xa06,2014-04-25 06:29:27.957000,True,True,True,False
1486,uid://A002/X7fb89e/X85d,2014-04-25 05:33:11.975000,True,True,True,False
